昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
正义随州,1,1,男,湖北,22561,498,3353,1
河北省文化和旅游厅,1,1,男,河北,45590,1273,7117110,2
泰安日报,1,0,男,山东,28780,328,226678,1
青年报,1,1,男,上海,77383,657,1023549,7
武汉广播电视台,1,0,男,湖北,55339,681,1405086,2
937江苏新闻广播,1,1,男,江苏,105406,1185,3101012,1
月隐寒霜,1,1,男,其他,111577,1068,83372,1
中国青年报,1,1,女,北京,97731,2195,16068354,1
海口日报,1,0,女,海南,74292,245,983736,1
微微万象民生直通车A,1,1,男,山东,154258,290,830054,1
平安纳溪,1,1,男,四川,31437,649,25881,6
CCTV巴德赛尔,1,1,男,北京,21485,390,981654,6
平安洛宁,1,0,男,河南,163673,2484,195073,4
SDTV今日聚焦,1,0,女,其他,7156,132,1736,1
放射科杨医生,1,1,男,内蒙,8118,534,2022,1
邢台大事小情,1,0,女,河北,1803,823,8307,5
重庆大足法院,1,0,男,重庆,23000,282,29057,1
鲁大自律会,1,0,男,山东,797,53,5682,1
健康苏州,1,1,男,江苏,3640,149,16494,1
云听资讯,1,1,男,北京,2673,25,250320,1
福建广电,1,0,男,福建,13343,165,35708,2
吕梁中院,1,0,男,其他,24796,372,28586,3
咸阳师范学院,1,1,女,陕西,11249,429,16649,2
胡芳芳LucyHu,1,1,女,北京,50910,230,1275246,1
南昌交通行,1,0,女,江西,9592,1174,15123,1
浦东发布,1,1,女,上海,53385,1570,470316,1
山东高速交警一支队,1,0,男,山东,25333,269,21895,2
中国舆论场,1,1,男,北京,33791,90,1659493,2
乌鲁木齐房天下特价房,1,1,女,陕西,21041,116,542,1
定西交通广播,1,0,男,甘肃,22724,261,10942,2
大兴安岭检察分院,1,1,女,黑龙,10156,1014,1168,2
川西监狱,1,1,女,四川,44309,538,6379,1
交广领航,1,1,男,河南,8005,196,5497,1
安徽纪检监察,1,0,男,安徽,13714,22,370402,1
陇南招商,1,1,男,甘肃,13288,2819,3569,18
健康四川12320,1,1,女,四川,7912,131,9029,1
宁波镇海检察,1,1,男,浙江,24055,626,20840,2
天水检察,1,0,男,甘肃,15203,185,1798,1
检验医学网,1,1,男,山东,6788,662,35351,1
大姚融媒,1,0,女,云南,3135,15,66,1
朔州网警巡查执法,1,0,男,山西,39873,468,3495,1
984株洲交通频道,1,0,男,湖南,40021,236,161114,1
海门发布,1,1,男,江苏,22122,196,39777,1
菏泽市牡丹区人民检察院,1,0,男,山东,19749,590,24172,3
凤凰网山东,1,1,女,山东,9763,1081,140961,1
烟台市人民检察院,1,0,男,山东,23380,1732,25815,2
黑河市检察院,1,0,男,黑龙,20683,1520,106675,1
四川监狱,1,1,男,四川,28222,963,136787,1
潼关检察,1,1,男,陕西,55920,1599,1989,1
FM940山西音乐广播,1,1,男,山西,6812,233,227441,1
